IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
70.79.54.164,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T12:06:56.538526,S01063cb74b2b2089.vc.shawcable.net,Canada,Vancouver,,Shaw Communications
65.95.233.89,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T10:36:42.063801,toroon4834w-lp140-01-65-95-233-89.dsl.bell.ca,Canada,Toronto,,Bell Canada
24.157.117.147,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T21:38:05.913858,d157-117-147.home4.cgocable.net,Canada,Acton,,Cogeco Cable
47.54.93.155,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T01:02:52.298644,nwcsnbsc00w-47-54-93-155.pppoe-dynamic.high-speed.nb.bellaliant.net,Canada,Miramichi,,Bell Canada
209.141.171.42,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T01:07:41.030386,,Canada,Markham,,CIK Telecom
199.84.42.192,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T04:39:57.115171,dsl-199-84-42-192.cooptel.qc.ca,Canada,Sherbrooke,,Cooptel Coop de Telecommunication
174.0.247.195,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T07:12:08.364568,S0106f8a097ef9cd3.cg.shawcable.net,Canada,Calgary,,Shaw Communications
74.14.21.22,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T22:03:37.858455,toroon2196w-lp130-01-74-14-21-22.dsl.bell.ca,Canada,Scarborough,,Bell Canada
71.7.238.6,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T12:38:06.616095,host-71-7-238-6.public.eastlink.ca,Canada,New Glasgow,,EastLink
24.36.54.115,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T00:26:56.227501,d24-36-54-115.home1.cgocable.net,Canada,Stoney Creek,,Cogeco Cable
174.0.73.19,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T11:45:51.436225,S0106bc9b68c73f92.ek.shawcable.net,Canada,Canal Flats,,Shaw Communications
23.233.203.59,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T21:07:07.303767,modemcable059.203-233.23.mc.videotron.ca,Canada,Québec,,Videotron Ltee
174.0.200.141,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T04:30:15.226237,S0106bc9b6809794d.cg.shawcable.net,Canada,Airdrie,,Shaw Communications
69.165.237.88,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T00:25:14.120955,69-165-237-88.cable.teksavvy.com,Canada,Toronto,,TekSavvy Solutions
104.163.169.14,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T07:19:06.103321,104-163-169-14.qc.cable.ebox.net,Canada,Montreal,,EBOX
50.71.214.153,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T21:31:18.426180,S010670037e4ca66b.wp.shawcable.net,Canada,Winnipeg,,Shaw Communications
24.78.185.134,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T10:13:18.043615,S0106b07fb9a10fb4.wp.shawcable.net,Canada,Winnipeg,,Shaw Communications
24.71.166.24,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T21:47:43.775360,S0106105611c097ce.ok.shawcable.net,Canada,Kelowna,,Shaw Communications
104.142.114.180,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T22:55:16.226036,,Canada,Victoria,,JUCE Communications
24.122.221.117,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T10:03:37.602960,24-122-221-117.si.cgocable.ca,Canada,Sept-Iles,,Cogeco Cable
24.66.113.231,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T02:36:40.416998,S010610da43c95b95.cg.shawcable.net,Canada,Calgary,,Shaw Communications
68.148.133.245,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T20:35:53.047303,S0106003f02b6b987.ed.shawcable.net,Canada,Edmonton,,Shaw Communications
147.194.109.4,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T07:24:08.907743,147-194-109-4.tpia.comwave.net,Canada,Scarborough,,Comwave
67.223.145.40,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T05:27:07.377258,e7-67-223-145-40.dynamic.drum.maskatel.ca,Canada,Upton,,Groupe Maskatel
74.210.244.159,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T03:38:05.165443,74-210-244-159.ri.cgocable.ca,Canada,Shawinigan,,Cogeco Cable
96.54.54.133,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T05:19:44.624428,S01063cb74b17d4b1.gv.shawcable.net,Canada,Victoria,,Shaw Communications
24.201.138.122,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T11:03:10.986940,modemcable122.138-201-24.mc.videotron.ca,Canada,Laval,,Videotron Ltee
104.221.14.92,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T01:06:34.084133,modemcable092.14-221-104.mc.videotron.ca,Canada,Montreal,,Videotron Ltee
24.224.210.146,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T22:53:23.479217,host-24-224-210-146.public.eastlink.ca,Canada,Charlottetown,,EastLink
184.64.59.16,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T06:26:03.096926,S0106bc9b688796c0.cg.shawcable.net,Canada,Airdrie,,Shaw Communications
173.238.64.69,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T07:10:30.597604,d173-238-64-69.home4.cgocable.net,Canada,Fort Erie,,Cogeco Cable
173.206.89.157,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T22:32:17.558503,dsl-173-206-89-157.tor.primus.ca,Canada,Brampton,,Primus Telecommunications Canada
204.112.112.24,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T05:43:34.770364,daphmb0121w-ad04-112-24.dynamic.bellmts.net,Canada,Camperville,,Bell MTS
99.254.117.47,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T02:56:05.042645,CPEd4b92ff751df-CMd4b92ff751dd.cpe.net.cable.rogers.com,Canada,Aurora,,Rogers Cable
198.91.172.36,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T11:22:29.922288,198-91-172-36.cpe.distributel.net,Canada,Markham,,Distributel Communications
99.255.90.84,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T02:38:28.950426,CPEa456cc3b4138-CMa456cc3b4136.cpe.net.cable.rogers.com,Canada,Cambridge,,Rogers Cable
24.70.45.239,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T12:38:56.277138,S0106905851bd9326.ok.shawcable.net,Canada,Vernon,,Shaw Communications
24.203.188.120,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T07:00:13.345292,modemcable120.188-203-24.mc.videotron.ca,Canada,Pierrefonds,,Videotron Ltee
135.23.95.99,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T22:58:46.169320,135-23-95-99.cpe.pppoe.ca,Canada,Ottawa,,TekSavvy Solutions
70.73.6.26,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-15T20:51:02.756925,S01065c769517e9c1.cg.shawcable.net,Canada,Strathmore,,Shaw Communications
76.9.33.250,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T10:51:47.447725,d76-9-33-250.nt.northwestel.net,Canada,Hay River,,Northwestel
24.215.93.105,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T11:19:06.657827,host-24-215-93-105.public.eastlink.ca,Canada,Bridgewater,,EastLink
24.80.162.231,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2020-04-16T10:33:29.755532,S0106905851c3143b.vc.shawcable.net,Canada,Burnaby,,Shaw Communications
